Company,Company Score,Job Title,Location
PepsiCo,3.9,2025 Summer Intern: R&D,"Plano, TX"
ghSMART,4.8,Data Engineer Intern,Remote
PepsiCo,3.9,2025 Summer Intern: eCommerce Data Science,United States
U.S. Bank National Association,3.6,2025 Data Analytics Summer Intern,"Minneapolis, MN"
Plymouth Rock Assurance,3.4,Fall 2024 Data Science/Predictive Modeler Intern,"Woodbridge, NJ"
Brookfield Properties,3.8,Data Analyst Intern,"Charleston, SC"
GE HEALTHCARE,4.2,Edison Engineering Program Intern – Software,"Waukesha, WI"
InComm Payments,3.6,Data Analyst Intern,"Atlanta, GA"
PepsiCo,3.9,2025 Summer Intern: Commerce Data & Technology,United States
Copart,3.5,Data & AI Intern,"Dallas, TX"
20 Digits Inc,3.5,Data Analyst Intern,"Sewell, NJ"
Copart,4.1,Data Engineering Intern,"Dallas, TX"
Oshkosh Corporation,3.2,Data Engineer Intern - Advanced Analytics,"Oshkosh, WI"
CALSTART,4.0,Data Research Intern,Remote
Nissan,3.5,"EV Strategy Data Science Intern- Fall 2024- Franklin, TN","Franklin, TN"
American Crystal Sugar Company,3.7,Analytics & Data Intern,"Moorhead, MN"
WSP,4.1,Data Science Intern - Fall 2024,"Kennesaw, GA"
California Institute of Genetics,3.3,Research Intern,United States
BMW,3.8,"Intern, Commercial Credit and Data Analytics","Columbus, OH"
Everytown for Gun Safety,5.0,Research Intern,United States
PRICE WATERHOUSE COOPERS,4.1,Digital Assurance & Transparency (DAT) Data Intern - Summer 2025,United States
Boston Bolts,3.7,"Academy Data Analyst - Part-time, Remote","Newton, MA"
The University of Chicago,3.2,Temporary Data Engineer/Data Analyst Intern,"Chicago, IL"
Belvedere Trading,3.8,Quantitative Trading Intern - Summer 2025,"Chicago, IL"
Utah Transit Authority,3.8,Data Reporting and Analytics Intern,"Salt Lake City, UT"
ARCO a Family of Construction Companies,3.3,Data Engineer Intern/Co-op,"Saint Louis, MO"
Voya Financial,3.8,Summer 2025 Actuarial Intern,Remote
Hytrol Conveyor Company,4.0,"Data Engineer Intern - Jonesboro, AR","Jonesboro, AR"
CCC Information Services Inc.,3.9,Data Science Fall Internship,"Chicago, IL"
Cargill,4.1,"Software Engineering Intern Summer 2025 - Atlanta, GA","Atlanta, GA"
IDEMIA,4.0,Data Analyst Internship (Fall 2024),"Exton, PA"
First Solar,3.3,Manufacturing Engineering Data Science Intern (Fall 2024),"Perrysburg, OH"
Cargill,3.9,"Trading Data & Analytics Intern Summer 2025 - Minneapolis, MN","Wayzata, MN"
Hytrol Conveyor Company,5.0,"Data Scientist Intern - Jonesboro, AR","Jonesboro, AR"
PepsiCo,4.1,"2025 Summer Intern: Technology Data & Analytics, Data Engineer & Data Science","Purchase, NY"
Peak Nano,4.1,SOFTWARE ENGINEER INTERN,"Macedonia, OH"
Bosch Group,4.0,Mechanical/Automation Engineer Intern,"Sunnyvale, CA"
"Milwaukee Bucks, Inc",4.1,Customer Data Intern,"Milwaukee, WI"
United Nations Development Programme (UNDP),3.8,SDG Impact Intern,Remote
The Cincinnati Insurance Companies,4.6,Student Opportunities - Data Science Intern (PhD candidate) - Fall 2024 (Hybrid),"Fairfield, OH"
Medtronic,3.4,Software Engineering Intern – Summer 2025 (Graduate),"Minneapolis, MN"
The David J. Joseph Company,4.3,IT Intern/Co-op (Spring/Summer 2025),"Cincinnati, OH"
Physicians Mutual,3.6,Data Science Intern (12 Month Onsite Internship),"Omaha, NE"
Greentree Capital,3.8,Diversity Outreach Intern (Remote),Remote
Premier Inc.,4.0,Data Analytics Management Consulting Intern,Remote
Kohler,3.7,Kohler Intern,"Kohler, WI"
Leonardo DRS,3.3,Fall 2024- Pricing Analyst- Intern,"Melbourne, FL"
Castleton Commodities International,3.8,Data Engineering Internship (Summer 2025),"Stamford, CT"
SC2,4.3,Data Analytics Intern,"Peoria, IL"
Master Center for Addiction Medicine,3.3,Billing Data Analytics Intern,"Glen Allen, VA"
"AcreTrader, Inc",3.9,Data Entry Intern,"Fayetteville, AR"
TikTok,3.6,Reporting and Documentation Analyst Intern (TikTok Global Security) - 2025 Summer (BS/MS),"Washington, DC"
PepsiCo,4.1,2025 Summer Intern: Supply Chain,"Purchase, NY"
Prudential,3.4,"Prudential: 2025 Technology & Data, Software Engineering Internship Program","Newark, NJ"
Amex,3.4,"Campus Undergraduate – 2025 US Consumer Services Marketing Summer Internship New York, NY","New York, NY"
Stand Together,3.4,KIP Fall 2024 - Policy Intern - Libertas Institute,Remote
Zeno Group,3.9,"Intern, Analytics","Chicago, IL"
Hasbro,4.3,"Intern - Marketing, Play-Doh (Sept - Dec 2024)","Pawtucket, RI"
SmartDev LLC,4.0,Global health financing intern,Remote
youbloom,3.7,Business Analysis Intern,Remote
SECURA Insurance,3.5,Intern - Actuarial/Data Science,"Neenah, WI"
Databricks,3.3,Software Engineering Intern (2025),"San Francisco, CA"
"Jones Strategy and Consulting Group, LLC",2.9,Business Analyst Intern,United States
CACI,3.9,Data Engineering Intern - Fall 2024,"Charlottesville, VA"
"PHI, Inc.",3.8,Business Development Intern,"Lafayette, LA"
City of Philadelphia,3.8,Data Analyst Intern,"Philadelphia, PA"
